year,country,global_avg_temperature,temperature_anomaly,max_temperature,min_temperature,co2_concentration_ppm,annual_rainfall_mm,sea_level_rise_mm,sea_surface_temperature,heatwave_days,drought_index,flood_events_count,forest_cover_percent,deforestation_rate,fossil_fuel_consumption,renewable_energy_share,air_quality_index,predicted_temperature_2050,climate_risk_index
1986,Germany,14.35,1.15,35.05,6.78,364.14,1362.48,2.37,16.71,13,3.47,14,69.26,1.06,81.74,48.31,183,2.76,24.29
2015,France,13.06,0.98,37.81,5.08,383.94,473.39,3.2,18.5,58,0.04,6,55.79,1.8,31.32,29.81,163,1.84,16.63
2024,UK,14.75,0.49,26.29,2.9,427.85,1665.48,2.62,18.37,38,0.94,11,44.43,3.28,32.67,11.43,96,2.73,59.28
1999,Canada,14.59,1.01,33.14,7.16,453.77,1017.21,3.33,14.59,56,3.45,5,55.4,0.61,60.02,25.98,190,2.61,76.13
1980,Brazil,15.39,0.53,26.77,7.64,386.47,1321.91,3.28,17.19,18,0.33,2,26.39,1.53,44.06,17.84,190,2.88,33.22
1987,India,14.87,1.36,38.02,0.71,405.31,1065.58,2.45,19.09,2,2.34,11,27.02,3.2,49.51,10.53,60,2.58,57.82
2025,France,15.87,0.35,31.62,7.75,425.04,752.94,4.06,15.0,33,3.31,14,49.26,1.29,76.46,11.07,142,2.1,9.81
1995,Canada,14.56,1.51,27.14,4.4,378.69,989.09,3.24,15.02,57,3.83,2,62.31,2.71,83.25,47.9,192,2.21,93.52
1993,Canada,14.44,1.27,31.03,5.1,428.04,427.16,5.11,15.27,48,2.27,11,68.19,1.42,75.34,53.48,97,2.21,33.69
1991,UK,14.39,1.27,35.75,1.46,348.11,1206.52,2.72,17.84,40,3.15,1,30.48,2.84,36.44,55.99,76,2.07,99.75
2002,France,14.24,0.23,33.97,3.4,427.31,1058.13,5.73,16.93,21,2.7,1,57.79,3.44,88.6,51.97,182,1.39,97.86
1994,China,13.18,0.97,29.13,0.88,390.12,942.53,3.83,13.6,37,0.26,10,61.09,1.42,45.42,50.66,195,1.12,77.88
2007,Pakistan,14.37,1.56,26.48,0.69,403.81,1225.81,5.03,17.01,55,3.71,11,47.39,2.97,31.83,8.79,171,2.58,2.01
2013,China,13.26,0.89,35.37,6.51,431.3,1011.26,3.64,16.12,26,0.86,4,30.86,3.46,54.96,48.46,86,2.11,54.35
1981,France,14.77,0.67,32.1,3.58,426.18,1182.05,2.56,16.33,20,0.16,10,47.15,3.45,70.77,48.08,142,2.68,8.68
2011,China,13.76,0.85,33.71,-0.2,414.8,1288.69,3.18,15.24,40,2.26,10,45.07,1.57,25.83,12.22,111,2.01,89.51
2002,USA,13.96,1.07,34.2,13.71,439.23,835.23,1.84,17.02,30,4.33,7,46.39,1.75,64.4,41.41,128,2.2,78.96
2001,Brazil,14.1,0.76,37.15,0.5,372.5,749.38,3.37,18.08,26,0.75,5,47.16,1.13,80.07,29.89,97,2.66,97.23
2004,USA,14.38,1.59,39.23,9.37,420.11,483.23,3.71,15.54,36,0.06,8,60.82,1.17,38.32,54.5,144,2.98,60.84
2001,Australia,14.5,1.07,35.73,-0.91,395.25,1036.77,3.55,13.98,1,0.55,10,20.2,1.77,68.52,43.25,108,2.04,52.22
2001,China,15.15,0.88,33.4,6.83,437.95,1135.63,5.1,16.05,53,1.82,4,32.04,0.78,47.99,57.3,85,1.7,51.9
2021,Australia,14.15,0.58,35.12,4.0,432.18,602.92,3.32,17.63,46,2.9,9,45.16,2.52,48.99,10.77,192,2.81,38.64
1985,India,14.79,1.29,33.3,2.48,433.08,1426.11,1.23,15.87,8,0.97,3,27.0,1.92,39.66,7.23,64,2.06,46.87
1994,Germany,16.14,1.28,26.79,5.79,456.13,753.3,7.75,14.25,18,4.01,8,68.69,3.15,63.71,58.55,160,1.96,63.54
2022,India,14.73,0.78,40.46,5.25,443.16,368.95,2.67,17.64,41,3.77,11,25.79,2.86,45.27,9.41,74,2.0,93.29
2016,France,14.39,0.21,39.52,1.75,411.06,1448.45,4.66,18.62,35,3.48,9,38.18,1.2,78.16,26.24,54,1.84,59.59
2012,Canada,14.03,1.26,44.94,1.57,414.97,408.1,1.69,16.53,9,2.44,10,62.64,1.82,87.4,40.75,145,2.59,85.71
1987,Brazil,14.38,1.03,46.4,-1.3,430.02,1289.25,3.79,14.09,58,1.83,13,14.8,2.65,85.46,53.4,167,1.53,86.28
2023,China,13.97,1.23,29.12,6.22,418.4,1216.34,2.55,16.02,39,1.88,4,59.24,0.76,31.42,19.0,113,2.25,51.88
2023,UK,14.66,1.88,33.32,-0.02,432.63,1095.87,0.11,16.73,53,2.52,0,44.26,0.21,20.99,6.6,127,2.32,34.75
1984,Germany,14.56,1.09,47.56,5.02,359.24,843.17,3.16,15.29,44,0.39,4,11.91,3.0,50.69,33.67,68,1.9,63.96
2018,Pakistan,13.2,0.89,34.8,7.37,462.02,1150.84,3.44,17.38,38,3.41,14,64.17,0.57,71.02,30.91,77,2.99,44.59
1983,Pakistan,14.49,0.64,36.22,5.83,416.53,1314.55,3.24,15.14,6,1.76,4,12.35,3.12,88.42,21.88,63,2.65,8.14
1985,Pakistan,15.15,0.98,27.39,2.11,374.44,704.26,3.79,16.54,3,1.12,4,40.91,3.21,74.84,53.06,58,1.97,37.78
2024,China,14.26,1.16,35.75,8.64,392.16,1292.91,3.18,16.16,14,1.39,12,12.94,1.67,60.64,46.21,88,2.15,99.41
2011,Pakistan,14.11,1.12,44.66,3.37,361.77,1279.26,3.58,17.42,11,0.9,1,14.27,2.84,21.84,52.2,83,2.65,4.85
2009,USA,13.67,1.79,41.43,-0.34,387.74,1087.92,3.7,16.48,47,4.51,12,63.23,1.33,77.79,13.9,193,2.24,69.67
2014,Germany,13.39,1.3,31.95,3.87,411.44,838.61,3.46,16.21,5,0.85,5,55.95,3.02,32.4,43.08,192,2.9,84.12
2019,USA,15.0,1.05,33.02,7.35,452.87,1280.64,3.3,15.3,59,4.41,4,21.82,2.9,23.89,58.63,74,2.48,64.87
1995,Canada,14.39,0.82,29.35,2.3,425.27,1152.49,2.43,16.55,8,2.86,1,47.23,0.37,79.53,38.66,181,2.33,56.97
1992,Germany,14.96,1.21,30.74,8.51,420.82,695.21,4.21,16.11,34,4.34,11,57.68,2.08,59.64,14.43,95,2.32,70.76
2021,USA,15.42,0.74,25.45,1.92,386.62,889.79,3.16,15.19,7,2.37,9,63.38,2.28,29.0,59.77,173,3.77,42.93
2009,Germany,15.05,1.17,34.58,2.46,394.39,1245.72,3.06,16.74,6,4.64,14,38.1,0.1,47.06,34.06,71,1.69,9.14
1998,Canada,14.17,1.29,42.55,0.82,396.33,1034.37,4.11,17.05,3,1.06,14,63.85,3.43,25.99,51.2,65,1.65,96.24
1996,Australia,14.59,1.01,36.78,7.73,397.35,1325.79,3.75,15.99,57,2.77,13,40.47,1.48,64.66,13.21,182,2.08,43.23
1998,China,14.13,0.85,41.83,4.79,406.21,897.51,2.66,17.9,12,0.63,7,51.29,1.86,39.77,41.64,95,2.9,66.54
2007,China,14.08,0.23,40.37,1.08,408.1,700.03,5.0,16.9,18,2.24,5,68.74,0.76,80.63,55.19,76,0.97,53.13
2005,Pakistan,14.71,1.56,32.27,3.42,406.52,1658.08,2.07,14.57,6,2.85,10,24.16,2.18,45.05,34.26,164,1.25,5.47
2016,India,14.0,1.26,31.2,-7.28,398.22,495.73,2.26,18.51,9,3.03,9,20.11,2.86,54.62,20.88,92,2.0,95.27
2005,Pakistan,13.17,1.27,31.39,8.11,418.38,850.05,4.3,17.65,24,1.83,11,30.52,2.09,24.45,12.01,140,3.26,79.25
2002,France,13.97,0.48,26.41,4.32,407.14,1083.92,5.6,18.0,43,0.38,10,19.86,2.78,39.29,21.28,117,2.21,14.91
1988,USA,14.32,1.65,35.16,-4.62,375.11,1295.83,2.81,17.1,57,3.28,2,27.05,2.59,67.37,24.52,75,1.62,98.16
1991,Germany,15.41,0.91,20.48,-0.83,415.86,1193.93,4.0,12.99,34,2.44,8,54.58,0.91,71.54,44.05,140,2.61,73.69
1980,India,14.21,0.98,37.96,3.31,412.08,1693.38,2.07,18.14,57,0.68,12,38.65,1.58,37.0,14.82,50,3.03,47.23
1980,Canada,14.81,0.67,35.36,-0.26,375.51,964.72,2.39,16.59,24,4.68,10,32.5,0.61,55.27,10.84,66,1.88,61.14
2013,France,14.4,0.39,37.36,8.17,400.22,738.11,4.86,17.03,28,4.78,10,32.12,0.24,77.23,26.28,41,2.43,10.67
2011,Canada,15.24,1.56,40.29,6.67,429.93,934.09,3.94,17.31,55,4.28,13,21.67,0.31,46.59,30.23,61,2.28,56.04
2004,China,15.19,1.61,35.99,6.44,386.59,904.01,4.9,19.4,11,4.22,3,36.84,3.3,29.36,39.56,105,2.49,7.37
2019,China,15.21,1.03,43.16,-5.42,383.95,979.51,4.8,15.68,50,0.49,2,47.48,3.45,50.23,43.91,151,1.97,54.49
2024,Pakistan,13.46,0.83,38.11,2.9,406.88,705.25,0.99,15.72,46,4.97,6,18.35,0.42,62.04,53.91,56,2.51,55.27
1980,USA,14.62,0.95,31.21,2.21,430.57,1235.22,2.06,15.22,39,2.0,11,68.37,1.24,20.52,20.89,171,2.62,87.44
1995,India,14.96,0.96,33.81,1.18,460.26,1111.25,3.83,14.9,11,0.82,12,36.6,0.49,44.4,34.07,53,2.56,72.51
2018,Brazil,14.73,0.62,23.69,3.34,431.47,620.84,1.46,14.92,51,4.06,14,66.88,2.94,62.52,25.13,46,1.39,24.96
1984,France,14.88,0.98,30.49,0.5,442.12,1290.41,2.23,13.72,5,1.13,13,18.08,1.79,86.63,5.08,118,1.48,88.84
2001,France,14.54,1.16,33.1,5.86,423.67,756.56,5.21,17.14,59,2.63,7,56.03,2.21,48.6,36.87,183,1.86,57.32
2008,Pakistan,14.05,1.51,37.73,8.07,397.87,645.16,2.85,19.48,9,0.64,6,47.06,1.94,31.41,49.87,143,2.33,60.64
1982,China,13.48,1.11,31.25,7.72,431.29,1026.2,4.35,19.58,1,2.37,0,59.2,2.51,57.4,7.0,186,2.48,16.9
1991,Pakistan,14.11,0.47,28.77,4.45,412.86,472.65,3.47,15.22,55,2.79,0,46.04,1.19,40.0,5.19,40,1.67,85.78
2005,Germany,16.11,1.24,25.56,13.0,424.43,1176.85,2.68,16.09,44,2.23,12,67.77,0.57,35.03,45.03,70,2.36,93.1
1995,India,14.21,1.0,32.02,9.56,391.35,148.35,1.5,18.35,24,0.35,4,47.62,0.16,61.33,42.61,167,2.67,77.5
2016,USA,13.32,1.65,44.75,4.59,426.66,691.19,3.78,17.15,6,2.42,14,57.08,1.62,84.11,27.32,171,2.53,94.08
2001,Australia,14.94,1.67,36.36,3.07,411.99,1472.54,5.25,16.7,39,2.34,13,62.65,3.19,78.47,41.39,130,1.97,30.23
2008,UK,15.01,1.69,39.7,10.35,420.78,794.0,2.72,16.11,22,1.31,7,52.88,1.14,32.76,57.44,97,2.02,86.11
1993,UK,15.27,0.88,30.5,9.03,412.87,846.52,3.58,18.27,47,4.61,13,41.45,0.77,73.61,18.63,95,1.55,48.89
2007,Pakistan,14.78,1.9,27.13,-0.64,408.07,1382.1,1.68,14.89,10,2.09,9,26.37,3.25,36.09,18.53,82,3.07,16.39
1984,Germany,15.01,1.24,28.89,9.34,427.12,762.14,2.69,17.22,57,4.32,10,61.27,0.46,40.35,15.24,113,2.44,66.88
2009,India,15.6,1.75,34.51,4.38,404.85,1229.03,3.91,17.02,35,0.55,2,38.83,0.28,84.4,44.82,88,1.39,68.41
2025,Brazil,14.05,0.9,25.03,1.56,375.28,1352.26,4.39,16.57,48,1.59,7,47.24,3.09,83.77,24.43,151,2.81,28.69
1984,UK,13.93,0.98,29.97,-2.92,368.15,1143.56,4.17,17.68,47,0.88,2,14.75,2.48,31.8,59.38,147,2.53,2.75
1991,India,13.84,1.21,32.07,3.92,419.61,566.53,1.06,16.55,50,2.04,3,39.84,1.54,24.49,44.31,99,2.8,19.98
1995,USA,14.34,1.16,28.4,4.95,403.82,818.8,2.95,15.7,22,0.56,9,51.89,2.66,40.52,25.21,133,1.92,39.98
2005,Canada,15.36,1.6,24.38,11.35,371.77,1814.09,2.34,16.64,58,2.21,6,45.04,2.62,60.72,13.21,183,1.99,16.76
2005,Germany,14.82,1.01,36.45,8.83,417.66,852.84,3.13,14.11,42,1.77,2,36.91,0.24,81.38,37.56,112,1.79,19.4
2000,China,14.79,1.57,35.23,2.67,412.65,1895.9,3.37,17.42,6,1.12,3,23.41,2.4,28.32,21.22,138,3.26,39.14
2018,India,13.41,1.39,38.9,6.56,402.51,1512.69,4.78,17.8,26,3.21,7,28.58,2.28,49.05,54.8,153,1.95,96.18
2015,USA,14.08,1.01,29.45,8.3,421.17,1155.72,3.85,15.52,12,4.75,3,52.04,3.38,39.02,29.28,54,1.72,76.42
2012,Brazil,13.4,1.36,38.8,5.34,447.88,1089.17,5.2,15.16,50,1.04,8,23.45,3.39,21.05,21.1,102,1.88,31.97
2009,Australia,15.2,0.91,42.65,2.65,447.11,860.55,2.66,15.57,16,3.56,3,47.3,1.38,75.19,37.37,67,2.04,95.16
2016,China,15.45,2.04,36.31,2.87,418.59,973.33,1.8,16.41,31,3.71,12,45.38,2.11,76.93,12.53,187,2.98,64.56
2002,Australia,14.97,0.03,31.95,6.54,412.88,793.38,5.25,16.82,25,2.49,13,68.23,0.58,35.49,35.89,75,2.34,45.54
1989,Brazil,13.91,1.37,35.73,6.65,418.94,980.91,4.02,18.92,56,4.49,3,13.65,0.33,30.59,8.09,164,2.82,46.83
1984,USA,15.39,0.39,31.71,3.83,422.73,591.34,2.61,18.73,59,4.83,12,16.49,1.57,30.12,38.38,180,2.34,41.07
2015,UK,14.35,1.01,30.88,-5.48,408.29,575.27,4.03,17.75,21,1.81,4,40.37,2.45,52.48,34.16,101,2.11,23.3
2013,Australia,13.77,1.07,38.42,-0.16,419.36,1390.3,4.5,16.68,12,3.26,0,41.63,2.03,37.25,33.64,190,1.68,38.66
2010,China,13.92,1.7,34.3,7.48,375.66,516.31,3.64,15.11,11,3.31,6,12.4,1.56,55.79,42.63,52,3.0,52.79
1989,Pakistan,14.24,0.82,41.03,-3.52,417.03,1265.84,2.63,19.02,6,2.02,8,59.55,2.88,46.94,7.45,127,2.7,52.8
1998,France,14.53,1.62,32.79,9.74,426.92,431.69,2.97,16.13,0,1.58,11,39.68,2.8,34.76,30.29,79,2.74,76.17
2011,India,14.4,0.63,33.29,9.14,402.75,1188.89,3.85,16.92,32,4.67,8,30.8,2.59,72.58,29.42,197,2.66,35.88
1980,UK,13.65,1.64,32.17,5.16,412.61,937.72,3.74,17.44,51,3.95,0,29.13,0.36,30.53,30.29,163,1.84,71.68
1984,Australia,15.23,0.91,29.4,7.39,387.21,1396.39,4.95,16.59,54,0.57,14,61.68,2.81,75.92,58.89,64,2.33,57.81
2024,Canada,14.41,1.13,39.07,7.12,383.74,900.4,3.17,18.23,13,0.6,5,21.8,3.23,59.3,12.66,193,2.74,96.18
1983,India,14.07,0.97,45.93,4.53,420.27,397.14,2.34,17.18,58,4.61,2,19.63,0.3,78.24,42.97,63,2.67,38.53
1995,Pakistan,15.17,1.61,33.09,-0.5,396.76,943.59,6.59,17.98,46,0.41,3,22.79,1.47,20.33,27.11,136,2.28,90.12
2003,Brazil,13.79,1.54,31.6,8.87,370.58,1047.9,3.71,17.17,42,3.44,7,47.5,3.46,72.44,33.14,78,3.19,82.06
1995,France,13.52,1.28,31.27,10.63,387.21,960.41,4.5,16.44,55,1.13,14,58.66,2.14,23.61,46.93,148,2.47,63.77
1981,USA,15.26,0.64,31.6,0.17,390.84,1172.53,4.13,16.61,57,0.18,3,29.86,1.85,86.51,13.66,100,2.86,65.45
2007,Pakistan,15.63,0.81,43.25,-0.65,434.36,830.68,3.72,16.41,40,0.3,7,20.41,0.7,69.19,47.0,59,2.3,8.46
2011,Pakistan,14.22,0.69,31.41,4.45,419.48,620.98,3.23,14.57,16,1.87,3,22.55,2.02,42.41,8.87,55,2.01,95.02
2006,Brazil,14.47,0.2,32.07,2.5,393.21,700.11,0.14,15.0,3,0.39,8,47.15,1.59,42.39,31.58,188,2.68,10.69
1999,Germany,13.81,1.6,28.8,5.58,400.31,845.27,2.22,17.61,51,2.98,5,24.76,0.53,80.3,45.81,54,2.57,56.32
2003,Brazil,14.5,0.97,36.47,9.83,447.8,842.7,3.89,14.61,50,3.24,0,62.64,1.68,83.2,15.59,81,2.37,33.01
1991,Germany,14.21,0.96,34.66,-3.98,438.4,1721.84,0.24,15.89,38,1.87,12,16.23,0.66,82.41,47.4,43,1.78,42.99
2014,Germany,14.44,1.7,29.31,11.33,387.05,1376.53,3.59,14.92,0,3.71,9,11.94,2.58,76.61,14.17,191,2.71,61.02
2012,UK,14.75,0.91,30.54,3.37,444.09,1206.01,4.29,15.81,40,2.45,1,15.3,3.41,77.33,48.96,170,1.8,90.89
2012,UK,13.84,0.76,42.66,7.05,412.98,1133.8,4.5,16.27,44,2.15,6,60.74,1.7,60.09,30.79,153,2.59,45.76
2022,China,14.28,1.01,35.16,7.47,434.99,1089.93,4.22,15.89,23,2.03,9,49.07,2.25,21.98,42.66,168,1.65,98.77
2016,Australia,13.42,0.65,35.51,7.94,410.92,1091.5,4.65,14.36,33,2.16,6,67.46,1.57,26.07,55.46,180,1.78,59.28
1991,Australia,14.29,1.24,35.53,5.25,444.65,1048.99,5.43,16.22,33,4.84,2,30.18,0.57,65.47,27.46,93,2.35,16.06
1982,USA,14.44,0.95,41.97,6.18,386.01,1012.04,4.82,15.06,23,3.41,0,22.76,3.4,48.08,17.81,121,2.49,19.0
1980,Australia,14.64,0.9,29.77,6.16,408.61,372.44,3.74,15.55,58,1.58,7,43.72,0.54,59.71,52.69,79,2.31,71.61
2012,UK,14.64,0.86,33.02,2.48,445.41,889.26,3.34,17.61,14,3.67,12,42.27,0.48,36.18,13.89,166,1.94,5.04
2019,China,15.04,1.06,34.16,-2.03,355.18,927.91,3.64,17.93,16,1.65,12,45.46,1.66,65.46,39.73,178,2.76,48.03
1989,China,13.58,1.13,26.39,0.12,413.85,775.31,3.17,14.53,12,0.63,9,30.85,2.34,37.0,55.78,81,2.27,14.82
2022,Germany,13.61,0.89,30.42,4.58,405.16,833.17,4.84,18.85,6,2.38,13,10.35,1.31,52.26,42.09,132,2.3,43.32
2023,Brazil,14.82,0.96,40.23,1.85,432.12,1090.22,4.19,15.73,8,3.76,10,12.1,0.75,53.51,15.76,43,2.12,74.99
2008,USA,13.28,1.07,38.8,1.86,441.75,1230.28,3.04,15.6,43,1.89,14,49.83,2.88,32.44,13.38,64,1.84,45.88
1992,Germany,14.61,1.03,39.69,12.2,433.26,1089.77,5.09,15.16,34,4.35,10,41.4,1.33,81.33,18.88,139,2.76,16.35
1991,Brazil,13.79,1.11,32.05,8.44,421.03,1222.73,3.15,16.58,22,1.93,9,59.26,0.76,56.81,26.53,164,1.88,25.19
2010,Australia,15.44,0.83,32.67,3.99,416.01,1228.03,2.37,19.47,53,1.75,14,28.02,1.34,80.67,13.75,79,3.05,36.75
2025,Germany,14.65,1.5,26.06,7.69,406.43,910.09,3.49,14.19,46,4.99,6,58.93,0.83,38.38,48.88,131,1.79,6.96
1981,India,14.37,1.14,39.66,3.32,420.25,1157.59,2.51,13.41,38,2.41,9,35.53,1.87,32.06,24.64,175,2.36,58.43
2014,Australia,15.24,0.9,40.48,5.44,451.49,476.09,4.62,16.9,22,4.03,7,15.8,2.37,21.26,56.48,124,2.23,60.75
2002,Brazil,13.86,1.24,40.42,6.77,394.24,884.7,2.49,17.35,25,4.02,0,68.67,2.82,26.57,51.34,74,2.14,6.22
1996,USA,13.98,1.07,43.02,3.33,404.95,849.44,3.36,16.58,0,4.63,13,40.72,0.87,30.32,54.99,185,2.54,40.23
2005,Brazil,13.74,0.41,37.11,2.26,413.11,1459.4,4.63,17.39,13,0.42,2,47.77,0.67,25.52,21.2,86,2.59,41.4
1987,Germany,13.98,1.24,42.78,9.9,440.02,1101.13,2.65,14.8,31,1.36,12,50.25,0.17,82.78,36.56,192,2.47,33.38
2008,Germany,14.54,0.69,34.0,7.46,420.58,599.66,3.99,15.08,50,3.84,1,31.74,0.88,83.8,22.68,44,1.67,55.77
2005,Pakistan,14.8,1.47,26.16,-4.02,439.59,1178.38,2.33,16.69,47,2.81,0,54.85,0.18,85.62,19.13,164,1.61,34.6
1989,USA,15.08,1.0,39.3,2.33,440.85,1272.94,3.79,19.14,9,2.8,4,62.22,1.27,87.19,38.39,150,1.58,41.64
2005,Canada,13.41,1.41,25.98,1.87,429.8,973.1,4.18,17.34,0,0.83,2,33.23,0.6,54.43,49.99,111,2.08,79.75
2013,Australia,14.4,0.85,35.85,2.52,388.4,1207.08,3.45,17.41,4,1.41,9,49.42,2.07,57.1,10.15,126,3.26,16.21
2020,China,13.84,1.13,39.78,8.45,456.53,251.29,3.54,14.89,2,2.61,14,55.43,1.4,29.16,20.17,42,2.18,61.91
1986,USA,14.38,1.58,36.62,5.08,450.31,190.2,4.03,17.13,48,1.39,7,21.41,0.42,29.59,16.28,132,3.25,50.56
1983,China,15.9,0.99,46.39,-0.56,416.59,646.4,3.16,14.73,49,1.05,5,29.96,1.46,74.09,48.91,80,2.18,30.51
2024,USA,14.68,0.86,25.17,3.47,380.46,1044.71,4.57,19.15,57,0.44,9,16.53,0.81,79.9,56.34,187,2.28,72.75
1990,USA,15.04,1.36,34.59,7.17,375.99,1459.65,5.15,14.98,52,0.78,13,46.13,2.41,74.93,9.4,126,2.5,55.12
2008,Brazil,15.68,1.35,35.09,4.12,421.36,662.07,2.39,15.31,26,3.84,8,58.06,1.34,78.42,25.86,124,2.05,47.74
2015,USA,15.18,0.88,28.28,2.42,397.46,743.9,5.62,14.29,50,3.59,8,46.65,0.6,39.36,55.3,175,2.31,66.77
2004,Pakistan,14.23,0.31,29.23,6.32,372.07,1026.58,3.14,16.63,53,0.23,10,20.79,1.29,52.62,23.96,172,1.35,80.23
2000,Canada,13.73,0.86,30.77,11.47,375.52,852.3,5.89,16.57,56,1.02,5,42.78,0.86,52.14,44.2,64,1.76,97.27
2015,Germany,14.48,1.37,29.5,6.85,403.25,835.24,3.15,18.77,21,2.8,1,60.1,2.81,89.67,10.54,78,1.36,62.94
1989,France,14.16,0.79,34.46,10.2,419.87,873.56,4.35,17.66,17,1.61,8,28.16,3.44,86.44,29.44,164,2.56,87.44
2016,China,13.59,1.1,31.99,2.69,450.14,1394.44,4.34,15.31,15,4.12,1,59.96,0.19,61.89,32.68,144,1.52,0.11
1988,Germany,14.64,0.84,36.59,4.97,427.11,1334.84,3.04,17.81,1,3.92,2,57.08,2.45,29.66,46.67,44,2.91,53.02
2003,France,14.66,0.33,38.25,4.89,405.46,1007.04,3.59,14.63,46,4.46,5,11.3,1.0,38.1,20.89,175,2.38,21.46
2014,Canada,15.56,0.83,37.91,5.47,424.5,1496.34,5.23,15.42,12,2.81,1,24.37,0.33,45.46,19.53,43,2.68,9.42
2014,Canada,14.28,1.37,32.95,6.76,422.26,1152.71,3.11,16.68,44,1.76,4,42.58,0.15,81.12,21.66,99,1.88,53.2
2015,China,14.67,0.15,36.42,1.32,433.49,1346.17,3.0,14.8,15,3.03,1,53.06,3.1,31.94,35.56,93,1.64,74.68
1997,China,14.1,1.2,40.18,7.59,414.0,741.84,2.12,18.1,7,0.45,11,62.83,1.3,35.38,53.18,189,2.03,41.23
2018,Canada,15.02,0.63,37.23,-1.51,440.9,803.9,5.38,19.92,42,0.05,3,48.46,3.48,44.46,50.7,117,2.73,67.01
2011,France,14.43,1.34,44.29,-0.34,435.61,800.69,2.92,16.06,7,0.09,14,32.82,1.6,84.88,8.19,58,3.26,48.97
2003,USA,13.8,1.39,39.91,13.54,417.07,973.98,4.94,15.52,53,2.04,10,21.08,0.74,55.27,53.34,138,2.45,43.71
2002,Australia,14.49,1.03,43.59,2.96,412.02,1017.97,2.78,16.31,9,1.14,10,55.6,2.74,65.28,10.23,107,1.54,29.03
2011,India,14.73,1.03,22.54,7.92,437.99,1097.25,4.9,15.66,54,0.79,2,22.41,3.25,47.11,27.84,72,1.71,38.26
2016,Germany,14.65,0.78,35.48,11.79,397.16,1591.93,4.47,16.89,32,3.08,4,51.73,2.87,33.2,47.1,189,1.46,34.98
1991,Brazil,15.13,0.56,33.38,-4.26,377.33,1216.38,3.23,14.52,30,4.98,5,20.87,2.63,35.6,9.48,178,2.14,64.62
1992,Germany,13.63,1.78,34.38,9.5,377.19,845.56,2.62,16.98,11,0.89,12,15.46,1.24,76.19,7.22,55,2.06,11.6
2002,Brazil,13.99,0.75,30.98,7.6,395.09,999.02,2.72,19.37,8,2.73,6,25.07,0.32,82.54,23.15,166,2.13,9.26
2004,France,14.88,1.73,36.98,11.56,431.49,1451.48,2.7,13.5,36,0.6,9,27.1,0.78,54.52,45.15,132,1.66,66.0
2014,Brazil,14.06,0.76,25.96,0.27,404.43,1234.56,4.78,14.75,8,4.67,7,48.83,1.62,44.99,33.7,83,1.61,54.63
2020,China,14.64,1.31,37.02,10.81,420.11,1447.53,3.69,15.83,47,1.46,8,19.65,3.35,76.55,27.94,48,2.25,43.02
2009,Australia,13.05,0.64,31.14,2.04,402.62,855.2,2.16,17.31,17,4.39,13,65.82,2.56,67.12,49.72,117,2.44,15.24
1996,Australia,16.13,1.31,32.5,9.22,402.82,786.5,3.2,17.84,29,1.42,3,43.26,2.92,22.86,47.17,118,1.61,41.1
1999,China,14.34,0.97,37.19,4.86,389.36,790.89,3.34,17.71,31,4.03,3,39.46,1.04,44.55,48.23,125,2.44,78.97
2004,Pakistan,15.22,0.97,35.39,8.08,412.7,879.4,0.93,13.96,39,1.05,6,36.08,2.42,67.75,30.28,54,2.67,88.96
2001,France,14.3,1.34,40.27,5.2,410.62,681.02,3.26,15.49,22,1.46,11,44.0,3.03,60.16,6.07,45,1.03,70.26
1992,Pakistan,14.75,0.91,30.15,-2.36,425.32,1088.56,4.37,15.15,10,0.96,14,11.35,1.73,88.46,14.47,40,2.99,5.99
1998,Pakistan,15.4,0.53,34.6,-7.48,422.19,1093.72,3.33,16.4,19,1.32,9,69.41,1.56,80.63,45.77,59,2.55,67.04
2015,Germany,15.2,1.4,39.44,5.84,410.07,1401.63,3.81,16.53,18,4.17,9,43.45,2.55,24.18,46.42,169,2.68,24.1
1991,Canada,14.38,0.64,36.81,3.95,377.35,471.92,4.08,14.45,35,3.2,10,12.11,2.0,70.8,58.48,109,1.69,31.53
2020,Germany,14.42,1.31,37.13,6.59,441.76,716.76,3.09,15.84,51,2.03,8,45.4,3.48,43.54,15.46,41,2.59,19.59
1998,Canada,15.1,1.49,40.54,3.99,412.87,1241.67,4.38,17.37,25,4.86,10,36.22,1.55,67.75,11.76,170,2.65,77.58
1991,India,15.9,0.95,32.97,13.07,416.99,1055.04,5.25,15.56,9,2.32,1,11.44,0.7,63.21,12.63,46,1.87,64.86
1988,Brazil,14.62,1.57,31.92,5.92,455.01,1013.44,1.67,16.2,23,4.85,12,65.47,1.7,55.21,15.16,123,2.59,61.18
1986,Canada,15.67,1.29,37.88,3.21,437.71,1379.16,3.09,19.05,12,0.98,10,10.63,0.9,79.71,34.07,93,2.13,66.8
2007,China,14.36,0.82,34.25,6.35,426.16,697.01,6.3,19.49,51,4.52,5,44.67,2.01,69.61,58.64,80,1.89,23.68
1993,Germany,15.07,1.66,40.61,3.29,414.94,781.38,3.7,13.26,45,0.07,9,67.71,0.53,82.27,37.42,154,2.1,44.46
2010,France,15.16,0.64,36.85,5.37,414.71,746.05,3.46,16.67,52,2.73,9,24.26,3.33,39.71,33.75,172,2.28,63.33
1998,Brazil,14.25,0.95,31.88,0.13,421.0,396.13,3.19,20.88,33,2.12,7,25.25,3.02,44.37,42.03,141,2.05,63.66
